jurisdiction,includes_jails,year,prisoner_count,crime_reporting_change,crimes_estimated,state_population,violent_crime_total,murder_manslaughter,rape_legacy,robbery,agg_assault,property_crime_total,burglary,larceny,vehicle_theft
ALABAMA,FALSE,2001,24741,FALSE,FALSE,4468912,19582,379,1369,5584,12250,173253,40642,119992,12619
ALASKA,TRUE,2001,4570,FALSE,FALSE,633630,3735,39,501,514,2681,23160,3847,16695,2618
ARIZONA,FALSE,2001,27710,FALSE,FALSE,5306966,28675,400,1518,8868,17889,293874,54821,186850,52203
ARKANSAS,FALSE,2001,11489,FALSE,FALSE,2694698,12190,148,892,2181,8969,99106,22196,69590,7320
CALIFORNIA,FALSE,2001,157142,FALSE,FALSE,34600463,212867,2206,9960,64614,136087,1134189,232273,697739,204177
COLORADO,FALSE,2001,17278,FALSE,FALSE,4430989,15492,158,1930,3555,9849,170887,28533,121360,20994
CONNECTICUT,TRUE,2001,17507,FALSE,FALSE,3434602,11492,105,639,4183,6565,95299,17159,65762,12378
DELAWARE,TRUE,2001,6841,FALSE,FALSE,796599,4868,23,420,1156,3269,27399,5144,19476,2779
FLORIDA,FALSE,2001,72404,FALSE,FALSE,16373330,130713,874,6641,32867,90331,782517,176052,516548,89917
GEORGIA,FALSE,2001,45937,FALSE,FALSE,8405677,41671,598,2180,14402,24491,347872,71799,238484,37589
HAWAII,TRUE,2001,5116,FALSE,FALSE,1227024,3117,32,409,1142,1534,62830,11162,44925,6743
IDAHO,FALSE,2001,5270,FALSE,FALSE,1320585,3211,30,425,245,2511,38181,7507,28285,2389
ILLINOIS,FALSE,2001,44348,FALSE,TRUE,12520227,79270,982,4010,24931,49347,434648,79158,306757,48733
INDIANA,FALSE,2001,19646,FALSE,FALSE,6126743,22734,413,1716,7171,13434,211548,42758,147291,21499
IOWA,FALSE,2001,7962,FALSE,FALSE,2931967,7865,50,649,1154,6012,88634,16885,66244,5505
KANSAS,FALSE,2001,8574,FALSE,FALSE,2702125,10909,92,945,2423,7449,105537,20514,77038,7985
KENTUCKY,FALSE,2001,10720,FALSE,TRUE,4068816,10510,181,1051,3269,6009,107356,26964,71448,8944
LOUISIANA,FALSE,2001,19660,FALSE,FALSE,4470368,30678,501,1403,7864,20910,207693,46451,139555,21687
MAINE,FALSE,2001,1675,FALSE,FALSE,1284470,1435,19,326,264,826,33154,6898,24585,1671
MARYLAND,FALSE,2001,23739,FALSE,FALSE,5386079,42088,446,1449,13525,26668,219512,41553,145934,32025
MASSACHUSETTS,FALSE,2001,10203,FALSE,FALSE,6401164,30585,143,1856,6476,22110,167079,32430,106821,27828
MICHIGAN,FALSE,2001,48849,FALSE,FALSE,10006266,55424,672,5264,12937,36551,352353,72038,226708,53607
MINNESOTA,FALSE,2001,6406,FALSE,FALSE,4984535,13145,119,2236,3758,7032,165046,25496,124519,15031
MISSISSIPPI,FALSE,2001,15131,FALSE,FALSE,2859733,10006,282,1147,3294,5283,109609,29821,70315,9473
MISSOURI,FALSE,2001,28575,FALSE,FALSE,5637309,30472,372,1383,7771,20946,238411,42977,167420,28014
MONTANA,FALSE,2001,2795,FALSE,FALSE,905382,3187,34,188,230,2735,30175,3670,24684,1821
NEBRASKA,FALSE,2001,3915,FALSE,FALSE,1720039,5214,43,431,1128,3612,68963,9760,52713,6490
NEVADA,FALSE,2001,9862,FALSE,FALSE,2097722,12359,180,883,4932,6364,77486,17711,45073,14702
NEW HAMPSHIRE,FALSE,2001,2419,FALSE,FALSE,1259359,2144,17,458,445,1224,27089,4889,20060,2140
NEW JERSEY,FALSE,2001,26052,FALSE,FALSE,8511116,33094,336,1278,14110,17370,240551,46812,156031,37708
NEW MEXICO,FALSE,2001,5668,FALSE,FALSE,1830935,14288,99,850,2695,10644,83095,19552,56406,7137
NEW YORK,FALSE,2001,67554,FALSE,FALSE,19084350,98022,960,3546,36555,56961,458003,80400,329316,48287
NORTH CAROLINA,FALSE,2001,32203,FALSE,FALSE,8206105,40465,505,2083,13304,24573,363777,101889,237241,24647
NORTH DAKOTA,FALSE,2001,1088,FALSE,FALSE,636550,505,7,164,60,274,14834,2165,11583,1086
OHIO,FALSE,2001,44868,FALSE,FALSE,11389785,40023,452,4466,17199,17906,435115,96910,295976,42229
OKLAHOMA,FALSE,2001,21719,FALSE,FALSE,3469577,17726,185,1486,2746,13309,141679,34573,94537,12569
OREGON,FALSE,2001,10950,FALSE,FALSE,3473441,10650,84,1174,2749,6643,164524,26648,123034,14842
PENNSYLVANIA,FALSE,2001,37641,FALSE,FALSE,12303104,50432,651,3467,17500,28814,313408,54345,223350,35713
RHODE ISLAND,TRUE,2001,3364,FALSE,FALSE,1059659,3278,39,416,986,1837,35742,6824,23875,5043
SOUTH CAROLINA,FALSE,2001,21719,FALSE,FALSE,4062125,33114,330,1769,5987,25028,186054,42611,126742,16701
SOUTH DAKOTA,FALSE,2001,2799,FALSE,FALSE,758324,1171,7,351,103,710,16473,3087,12571,815
TENNESSEE,FALSE,2001,17466,FALSE,FALSE,5749398,42776,423,2196,10219,29938,252992,59705,165015,28272
TEXAS,FALSE,2001,148480,FALSE,FALSE,21370983,122155,1332,8169,35348,77306,976654,204362,669625,102667
UTAH,FALSE,2001,4145,FALSE,FALSE,2278712,5314,67,896,1197,3154,90993,13804,70676,6513
VERMONT,TRUE,2001,1400,FALSE,FALSE,612978,644,7,107,107,423,16334,3150,12426,758
VIRGINIA,FALSE,2001,31472,FALSE,FALSE,7196750,20939,364,1770,6860,11945,207506,31604,157060,18842
WASHINGTON,FALSE,2001,15226,FALSE,FALSE,5993390,21258,179,2600,5934,12545,287234,53024,195133,39077
WEST VIRGINIA,FALSE,2001,3403,FALSE,FALSE,1800975,5035,40,320,707,3968,41085,9601,28268,3216
WISCONSIN,FALSE,2001,20766,FALSE,FALSE,5405947,12486,192,1142,4444,6708,166924,26927,125275,14722
WYOMING,FALSE,2001,1487,FALSE,FALSE,493754,1272,9,153,84,1026,16120,2481,12943,696
ALABAMA,FALSE,2002,25100,FALSE,FALSE,4478896,19931,303,1664,5962,12002,180400,42578,123932,13890
ALASKA,TRUE,2002,4351,FALSE,FALSE,641482,3627,33,511,489,2594,24118,3908,17739,2471
ARIZONA,FALSE,2002,29359,FALSE,FALSE,5441125,30171,387,1608,8000,20176,318296,59087,201541,57668
ARKANSAS,FALSE,2002,11849,FALSE,FALSE,2706268,11501,142,754,2524,8081,101171,23229,71129,6813
CALIFORNIA,FALSE,2002,159695,FALSE,FALSE,35001986,208388,2395,10198,64968,130827,1176484,238428,715692,222364
COLORADO,FALSE,2002,18636,FALSE,FALSE,4501051,15882,179,2066,3579,10058,180054,31678,125193,23183
CONNECTICUT,TRUE,2002,18716,FALSE,FALSE,3458587,10807,84,740,4069,5914,93426,17111,64735,11580
DELAWARE,TRUE,2002,6637,FALSE,FALSE,805945,4836,26,358,1154,3298,26967,5355,18555,3057
FLORIDA,FALSE,2002,75210,FALSE,FALSE,16691701,128721,911,6753,32581,88476,777236,177242,511478,88516
GEORGIA,FALSE,2002,47445,FALSE,FALSE,8544005,39271,606,2108,13432,23125,346559,73932,234591,38036
HAWAII,TRUE,2002,5069,FALSE,FALSE,1240663,3262,24,372,1210,1656,71976,12722,49344,9910
IDAHO,FALSE,2002,5451,FALSE,FALSE,1343124,3419,36,497,240,2646,39128,7441,29060,2627
ILLINOIS,FALSE,2002,42693,FALSE,TRUE,12586447,75759,961,4370,25314,45114,430479,81440,304227,44812
INDIANA,FALSE,2002,20349,FALSE,FALSE,6156913,22001,362,1843,6612,13184,208965,42605,146073,20287
IOWA,FALSE,2002,8398,FALSE,FALSE,2935840,8388,44,797,1169,6378,92877,18643,68411,5823
KANSAS,FALSE,2002,8967,FALSE,FALSE,2711769,10229,78,1035,2165,6951,100768,19679,73877,7212
KENTUCKY,FALSE,2002,11583,FALSE,TRUE,4089822,11101,191,1087,3131,6692,108590,26891,72378,9321
LOUISIANA,FALSE,2002,20010,FALSE,FALSE,4476192,29690,593,1529,7123,20445,198838,45350,133302,20186
MAINE,FALSE,2002,1855,FALSE,FALSE,1294894,1396,14,377,270,735,32985,6965,24591,1429
MARYLAND,FALSE,2002,24114,FALSE,FALSE,5450525,42015,513,1370,13417,26715,217105,39765,143320,34020
MASSACHUSETTS,FALSE,2002,9879,FALSE,FALSE,6421800,31137,173,1777,7169,22018,167753,33243,107922,26588
MICHIGAN,FALSE,2002,50591,FALSE,FALSE,10043221,54306,678,5364,11847,36417,335060,70970,214367,49723
MINNESOTA,FALSE,2002,6855,FALSE,FALSE,5024791,13428,112,2273,3937,7106,164026,28034,122150,13842
MISSISSIPPI,FALSE,2002,15355,FALSE,FALSE,2866733,9858,264,1127,3356,5111,109584,29593,70468,9523
MISSOURI,FALSE,2002,29795,FALSE,FALSE,5669544,30557,331,1465,7024,21737,230520,42721,159921,27878
MONTANA,FALSE,2002,2870,FALSE,FALSE,910372,3197,16,237,283,2661,28751,3289,23679,1783
NEBRASKA,FALSE,2002,4048,FALSE,FALSE,1727564,5428,48,464,1359,3557,68178,10329,51440,6409
NEVADA,FALSE,2002,10101,FALSE,FALSE,2167455,13856,181,928,5118,7629,83896,18951,47459,17486
NEW HAMPSHIRE,FALSE,2002,2475,FALSE,FALSE,1274405,2056,12,446,413,1185,26250,4838,19468,1944
NEW JERSEY,FALSE,2002,26301,FALSE,FALSE,8575252,32252,339,1365,13955,16593,227715,43899,148061,35755
NEW MEXICO,FALSE,2002,5991,FALSE,FALSE,1852044,13719,152,1027,2206,10334,80477,19634,53406,7437
NEW YORK,FALSE,2002,66925,FALSE,FALSE,19134293,95030,909,3885,36653,53583,442091,76700,318025,47366
NORTH CAROLINA,FALSE,2002,32918,FALSE,FALSE,8305820,39118,548,2196,12205,24169,353708,99535,229307,24866
NORTH DAKOTA,FALSE,2002,1117,FALSE,FALSE,633911,496,5,163,58,270,14762,2243,11501,1018
OHIO,FALSE,2002,45284,FALSE,FALSE,11408699,40128,526,4809,17871,16922,428976,99164,287045,42767
OKLAHOMA,FALSE,2002,21996,FALSE,FALSE,3489700,17587,163,1573,2966,12885,148128,35171,100185,12772
OREGON,FALSE,2002,11650,FALSE,FALSE,3520355,10298,72,1238,2742,6246,161145,25696,118925,16524
PENNSYLVANIA,FALSE,2002,39724,FALSE,FALSE,12328827,49578,624,3731,17163,28060,300868,55610,212441,32817
RHODE ISLAND,TRUE,2002,3473,FALSE,FALSE,1068326,3051,41,395,916,1699,35342,6415,24051,4876
SOUTH CAROLINA,FALSE,2002,22896,FALSE,FALSE,4103770,33761,298,1959,5774,25730,183808,43745,123196,16867
SOUTH DAKOTA,FALSE,2002,2943,FALSE,FALSE,760437,1350,11,361,117,861,15992,3034,12139,819
TENNESSEE,FALSE,2002,18297,FALSE,FALSE,5789796,41562,420,2290,9413,29439,249399,61248,161610,26541
TEXAS,FALSE,2002,152446,FALSE,FALSE,21736925,126018,1302,8508,37580,78628,1004274,212602,688992,102680
UTAH,FALSE,2002,4285,FALSE,FALSE,2318789,5488,47,943,1140,3358,97641,15124,74795,7722
VERMONT,TRUE,2002,1361,FALSE,FALSE,616408,658,13,126,77,442,14942,3489,10684,769
VIRGINIA,FALSE,2002,30937,FALSE,FALSE,7287829,21256,388,1839,6961,12068,207783,31757,157548,18478
WASHINGTON,FALSE,2002,16263,FALSE,FALSE,6067060,20964,184,2734,5797,12249,288967,54948,193526,40493
WEST VIRGINIA,FALSE,2002,3575,FALSE,FALSE,1804884,4221,57,328,657,3179,41099,9677,27524,3898
WISCONSIN,FALSE,2002,21666,FALSE,FALSE,5439692,12238,154,1237,4713,6134,164749,27926,123365,13458
WYOMING,FALSE,2002,1641,FALSE,FALSE,498830,1364,15,148,93,1108,16494,2448,13303,743
ALABAMA,FALSE,2003,27614,FALSE,FALSE,4503726,19331,299,1656,6038,11338,182241,43245,124039,14957
ALASKA,TRUE,2003,4472,FALSE,FALSE,648280,3877,39,605,446,2787,24386,3874,18051,2461
ARIZONA,FALSE,2003,31084,FALSE,FALSE,5579222,28638,441,1856,7619,18722,314335,58613,198725,56997
ARKANSAS,FALSE,2003,12068,FALSE,FALSE,2727774,12449,180,911,2227,9131,99084,25016,68061,6007
CALIFORNIA,FALSE,2003,161785,FALSE,FALSE,35462712,205551,2407,9994,63770,129380,1215086,242274,731486,241326
COLORADO,FALSE,2003,19450,FALSE,FALSE,4547633,15757,185,1913,3738,9921,179706,32394,124496,22816
CONNECTICUT,TRUE,2003,18023,FALSE,FALSE,3486960,11045,112,698,4212,6023,92981,16043,65568,11370
DELAWARE,TRUE,2003,6630,FALSE,FALSE,818166,5525,21,370,1441,3693,27943,6066,18933,2944
FLORIDA,FALSE,2003,79594,FALSE,FALSE,16999181,124280,924,6727,31523,85106,757696,170644,505489,81563
GEORGIA,FALSE,2003,47208,FALSE,FALSE,8676460,39435,657,2234,14043,22501,369589,79001,247196,43392
HAWAII,TRUE,2003,5499,FALSE,FALSE,1248755,3400,22,367,1168,1843,65867,11409,44807,9651
IDAHO,FALSE,2003,5558,FALSE,FALSE,1367034,3362,26,535,245,2556,40042,7837,29559,2646
ILLINOIS,FALSE,2003,43418,FALSE,TRUE,12649087,70376,895,4189,23786,41506,415885,78345,295907,41633
INDIANA,FALSE,2003,21345,FALSE,FALSE,6199571,21842,338,1720,6401,13383,208039,41582,145686,20771
IOWA,FALSE,2003,8546,FALSE,FALSE,2941976,8175,50,796,1131,6198,87554,17515,64400,5639
KANSAS,FALSE,2003,9168,FALSE,FALSE,2724786,10831,125,1085,2247,7374,109276,21973,79471,7832
KENTUCKY,FALSE,2003,11660,FALSE,TRUE,4118189,10232,181,1124,3224,5703,103370,26034,69083,8253
LOUISIANA,FALSE,2003,19498,FALSE,FALSE,4493665,28622,584,1601,7008,19429,193698,44572,129471,19655
MAINE,FALSE,2003,1974,FALSE,FALSE,1309205,1422,16,354,289,763,32078,6579,24043,1456
MARYLAND,FALSE,2003,23768,FALSE,FALSE,5512310,38778,525,1358,13302,23593,209418,38641,134372,36405
MASSACHUSETTS,FALSE,2003,9828,FALSE,FALSE,6420357,30377,140,1848,8011,20378,164543,34963,104069,25511
MICHIGAN,FALSE,2003,49358,FALSE,FALSE,10082364,51550,612,5470,11254,34214,330565,68316,208538,53711
MINNESOTA,FALSE,2003,7569,FALSE,FALSE,5064172,13316,127,2092,3906,7191,157663,27698,116216,13749
MISSISSIPPI,FALSE,2003,15863,FALSE,FALSE,2882594,9336,267,1079,3016,4974,106867,29564,68307,8996
MISSOURI,FALSE,2003,29864,FALSE,FALSE,5719204,28067,289,1400,6686,19692,233564,41997,161616,29951
MONTANA,FALSE,2003,3053,FALSE,FALSE,918157,3351,30,246,298,2777,28428,3722,22800,1906
NEBRASKA,FALSE,2003,4073,FALSE,FALSE,1737475,5105,56,504,1165,3380,65189,10133,48924,6132
NEVADA,FALSE,2003,10584,FALSE,FALSE,2242207,13813,197,871,5225,7520,96128,21958,53321,20849
NEW HAMPSHIRE,FALSE,2003,2427,FALSE,FALSE,1288705,1937,17,438,480,1002,26456,4589,19934,1933
NEW JERSEY,FALSE,2003,25718,FALSE,FALSE,8642412,31488,406,1288,13342,16452,220350,43457,142287,34606
NEW MEXICO,FALSE,2003,6223,FALSE,FALSE,1878562,12535,116,940,1937,9542,76816,18997,50595,7224
NEW YORK,FALSE,2003,65388,FALSE,FALSE,19212425,89486,934,3775,35790,48987,432079,75453,311422,45204
NORTH CAROLINA,FALSE,2003,33874,FALSE,FALSE,8421190,38243,506,2139,12229,23369,359660,100687,232081,26892
NORTH DAKOTA,FALSE,2003,1100,FALSE,FALSE,633400,508,9,160,53,286,13364,1959,10327,1078
OHIO,FALSE,2003,44350,FALSE,FALSE,11437680,38185,526,4660,16895,16104,417483,95083,281383,41017
OKLAHOMA,FALSE,2003,22688,FALSE,FALSE,3506469,17758,206,1501,3224,12827,151208,34846,103404,12958
OREGON,FALSE,2003,12207,FALSE,FALSE,3564330,10506,68,1218,2847,6373,169863,28562,122327,18974
PENNSYLVANIA,FALSE,2003,40879,FALSE,FALSE,12370761,49210,647,3556,17980,27027,300639,53918,213279,33442
RHODE ISLAND,TRUE,2003,3576,FALSE,FALSE,1076084,3074,25,505,830,1714,32231,5524,22320,4387
SOUTH CAROLINA,FALSE,2003,22942,FALSE,FALSE,4148744,33455,303,1952,5801,25399,187592,43993,127809,15790
SOUTH DAKOTA,FALSE,2003,3019,FALSE,FALSE,764905,1329,10,356,104,859,15324,2878,11572,874
TENNESSEE,FALSE,2003,19141,FALSE,FALSE,5845208,40409,396,2129,9413,28471,256565,63323,166769,26473
TEXAS,FALSE,2003,153056,FALSE,FALSE,22103374,122246,1422,8025,37017,75782,1016735,219877,698644,98214
UTAH,FALSE,2003,4623,FALSE,FALSE,2352119,5889,60,919,1258,3652,100084,16961,75321,7802
VERMONT,TRUE,2003,1491,FALSE,FALSE,619343,707,15,126,62,504,13803,3017,10132,654
VIRGINIA,FALSE,2003,30915,FALSE,FALSE,7365284,20490,416,1807,6713,11554,200449,29105,153367,17977
WASHINGTON,FALSE,2003,16227,FALSE,FALSE,6131298,21272,182,2863,5718,12509,291542,58271,192653,40618
WEST VIRGINIA,FALSE,2003,3790,FALSE,FALSE,1811440,4627,73,311,701,3542,42370,10498,28409,3463
WISCONSIN,FALSE,2003,22153,FALSE,FALSE,5474290,12104,183,1202,4397,6322,157684,26546,118775,12363
WYOMING,FALSE,2003,1630,FALSE,FALSE,502111,1314,14,136,84,1080,16648,2611,13239,798
ALABAMA,FALSE,2004,25635,FALSE,FALSE,4525375,19324,254,1742,6042,11286,182340,44666,123650,14024
ALASKA,TRUE,2004,4534,FALSE,FALSE,657755,4159,37,558,447,3117,22172,3773,16159,2240
ARIZONA,FALSE,2004,32384,FALSE,FALSE,5739879,28952,414,1896,7721,18921,291203,56885,179012,55306
ARKANSAS,FALSE,2004,12577,FALSE,FALSE,2750000,13814,176,1183,2372,10083,110911,30151,74242,6518
CALIFORNIA,FALSE,2004,163939,FALSE,FALSE,35842038,189175,2392,9615,61768,115400,1227194,245903,728687,252604
COLORADO,FALSE,2004,19655,FALSE,FALSE,4601821,17121,201,1945,3739,11236,180322,33010,123308,24004
CONNECTICUT,TRUE,2004,17993,FALSE,FALSE,3498966,10113,100,755,4188,5070,93942,15959,66770,11213
DELAWARE,TRUE,2004,6753,FALSE,FALSE,830069,5105,28,357,1343,3377,27256,5669,19285,2302
FLORIDA,FALSE,2004,83165,FALSE,FALSE,17385430,123754,946,6612,29997,86199,727141,166332,482484,78325
GEORGIA,FALSE,2004,51104,FALSE,FALSE,8918129,40217,613,2387,13656,23561,376656,82992,249426,44238
HAWAII,TRUE,2004,5555,FALSE,FALSE,1262124,3213,33,333,944,1903,60525,10827,41078,8620
IDAHO,FALSE,2004,5758,FALSE,FALSE,1395140,3452,31,594,241,2586,38799,7671,28389,2739
ILLINOIS,FALSE,2004,44054,FALSE,TRUE,12712016,69365,780,4220,22582,41783,403486,76088,287025,40373
INDIANA,FALSE,2004,21984,FALSE,FALSE,6226537,20294,316,1803,6373,11802,211929,42168,148670,21091
IOWA,FALSE,2004,8525,FALSE,FALSE,2952904,8499,44,782,1160,6513,85775,17928,62214,5633
KANSAS,FALSE,2004,8991,FALSE,FALSE,2733697,10330,122,1142,1812,7254,109771,20146,81115,8510
KENTUCKY,FALSE,2004,13322,FALSE,FALSE,4141835,10152,236,1238,3268,5410,105209,25902,70535,8772
LOUISIANA,FALSE,2004,19470,FALSE,FALSE,4506685,28844,574,1616,6564,20090,199153,45359,134080,19714
MAINE,FALSE,2004,2013,FALSE,FALSE,1314985,1364,18,315,289,742,31740,6341,24096,1303
MARYLAND,FALSE,2004,23289,FALSE,FALSE,5561332,38961,521,1317,12772,24351,202474,36704,129888,35882
MASSACHUSETTS,FALSE,2004,9825,FALSE,FALSE,6407382,29489,171,1794,7484,20040,158150,34497,101605,22048
MICHIGAN,FALSE,2004,48831,FALSE,FALSE,10104206,49737,643,5482,11336,32276,309805,64233,194988,50584
MINNESOTA,FALSE,2004,7983,FALSE,FALSE,5096546,13751,113,2123,4070,7445,155019,28048,113453,13518
MISSISSIPPI,FALSE,2004,16359,FALSE,FALSE,2900768,8568,227,1161,2503,4677,100980,27661,65440,7879
MISSOURI,FALSE,2004,30682,FALSE,FALSE,5759532,28226,354,1479,6630,19763,224629,40472,158264,25893
MONTANA,FALSE,2004,2703,FALSE,FALSE,926920,2723,30,273,233,2187,27215,3515,22082,1618
NEBRASKA,FALSE,2004,4137,FALSE,FALSE,1747704,5393,40,620,1138,3595,61512,9826,46399,5287
NEVADA,FALSE,2004,11033,FALSE,FALSE,2332898,14379,172,954,4905,8348,98215,23142,52438,22635
NEW HAMPSHIRE,FALSE,2004,2443,FALSE,FALSE,1299169,2202,17,466,500,1219,26658,4979,19723,1956
NEW JERSEY,FALSE,2004,25435,FALSE,FALSE,8685166,30943,392,1331,13076,16144,211313,41030,139977,30306
NEW MEXICO,FALSE,2004,6403,FALSE,FALSE,1903006,13081,169,1039,2062,9811,79895,19924,52069,7902
NEW YORK,FALSE,2004,64024,FALSE,FALSE,19280727,84914,889,3608,33506,46911,422734,70696,311036,41002
NORTH CAROLINA,FALSE,2004,35544,FALSE,FALSE,8540468,38244,532,2339,11782,23591,355328,101193,227147,26988
NORTH DAKOTA,FALSE,2004,1130,FALSE,FALSE,636308,558,8,177,43,330,12493,2040,9516,937
OHIO,FALSE,2004,44150,FALSE,FALSE,11450143,38787,506,4744,17429,16108,419337,96518,282168,40651
OKLAHOMA,FALSE,2004,22621,FALSE,FALSE,3523546,17635,186,1557,3090,12802,149472,35244,101271,12957
OREGON,FALSE,2004,12652,FALSE,FALSE,3591363,10724,90,1283,2751,6600,166475,30072,117868,18535
PENNSYLVANIA,FALSE,2004,40506,FALSE,FALSE,12394471,50998,650,3535,18474,28339,299611,54443,214199,30969
RHODE ISLAND,TRUE,2004,3169,FALSE,FALSE,1079916,2673,26,320,731,1596,31166,5465,21623,4078
SOUTH CAROLINA,FALSE,2004,22650,FALSE,FALSE,4197892,33160,286,1772,5468,25634,190456,43739,130991,15726
SOUTH DAKOTA,FALSE,2004,3053,FALSE,FALSE,770621,1319,17,336,112,854,14885,3148,10890,847
TENNESSEE,FALSE,2004,19331,FALSE,FALSE,5893298,41113,357,2282,8863,29611,254991,60386,169828,24777
TEXAS,FALSE,2004,156682,FALSE,FALSE,22471549,121554,1364,8388,35817,75985,1010702,220118,696507,94077
UTAH,FALSE,2004,4720,FALSE,FALSE,2420708,5647,46,967,1236,3398,97762,15225,74889,7648
VERMONT,TRUE,2004,1968,FALSE,FALSE,621233,713,16,160,78,459,14559,3435,10537,587
VIRGINIA,FALSE,2004,31072,FALSE,FALSE,7481332,20608,390,1816,6899,11503,200368,28759,154154,17455
WASHINGTON,FALSE,2004,16503,FALSE,FALSE,6207046,21330,190,2857,5866,12417,300837,60632,196972,43233
